Id	Longitude	Latitude	Population	ClinicWalkability
141373143516849	82.979261	55.097517	20.5	4
141373143625981	82.982419	54.986713	3.06	3
141373143632889	83.027246	55.044119	3.06	3
70030076193722793	82.973506	55.047638	177.67	2
70030076307561177	83.057368	54.889765	3.06	5
70030076263796559	83.027205	55.087909	3.06	5
141373143535403	82.920669	54.935982	184.46	2
141373143643823	82.908281	55.113605	3.06	4
141373143618342	82.809096	55.018838	3.06	3
141373143625606	83.112986	54.959276	3.06	4
70030076334686335	82.929695	54.857799	3.06	5
70030076329214731	82.928254	54.838583	3.06	5
141373143637049	82.870399	55.042306	3.06	2
141373143614794	82.926887	54.984252	3.06	3
141373143636337	82.888535	55.053478	3.06	2
141373143637683	82.873181	55.06785	3.06	4
141373143621955	83.118943	54.952148	3.06	4
141373143572841	82.798951	54.985358	3.06	3
141373143550284	82.988496	55.053258	3.06	3
141373143524571	82.966821	55.176678	13.66	3
141373143567330	82.827725	54.978569	3.06	2
141373143645802	82.948865	55.178192	3.06	2
141373143517457	82.948759	55.075692	81.98	1
141373143543212	83.135128	54.962334	3.06	4
141373143623540	83.062397	54.977881	3.06	4
141373143585765	82.876314	55.022197	3.06	4
141373143617175	82.951377	54.949329	3.06	2
141373143677524	82.948827	55.050863	3.42	2
70030076286459363	83.039578	54.9613	3.06	5
70030076275679514	82.766677	55.001096	3.06	5
70030076329216722	82.926852	54.839933	3.06	5
70030076249829089	83.04702	54.877882	3.06	5
141373143608070	82.836948	54.98234	3.06	3
141373143613048	82.82685	54.973088	3.06	3
141373143592448	82.955526	55.039371	133.22	2
141373143608386	82.835882	54.985655	3.06	3
141373143552050	83.01267	55.042729	3.06	1
141373143689896	83.055418	54.922728	3.06	4
141373143617238	82.947749	54.948816	3.06	2
141373143616574	82.903596	54.967029	3.06	3
141373143620717	82.846795	55.026912	3.06	3
141373143551467	83.012022	55.057947	3.06	4
141373143628988	82.993596	55.024546	3.06	4
141373143626265	82.775047	54.999727	3.06	5
141373143626624	82.98694	55.000608	3.06	3
141373143635348	82.985349	55.059452	3.06	1
141373143632040	82.964437	55.003756	3.06	2
141373143543751	83.145843	54.942058	3.06	4
141373143641071	82.953299	55.064079	3.06	3
141373143603647	83.07541	54.885976	3.06	4
141373143576685	82.889041	55.074253	3.06	3
141373143678798	82.964323	55.167638	3.06	3
141373143547512	83.072578	54.911113	3.06	4
141373143616693	82.959426	54.946236	3.06	1
141373143637986	82.895178	55.070464	3.06	3
141373143623180	83.109812	54.941471	3.06	3
141373143640390	82.947332	55.066267	3.06	3
141373143565888	82.882463	55.052506	3.06	3
141373143627809	82.980924	55.016638	3.06	3
141373143522240	82.963279	55.026049	13.66	3
141373143528966	82.819896	54.984629	153.72	1
141373143689161	82.914575	55.11537	3.06	4
141373143613946	82.865347	54.971228	3.06	3
141373171287852	82.888416	55.016041	3.06	3
141373143571703	82.948563	55.03349	3.06	4
141373143635387	83.01215	55.048817	3.06	3
141373143616567	82.932357	54.97724	3.06	3
141373143539277	83.053432	54.8475	768.4	1
141373143551415	83.023536	55.052323	3.06	3
141373143621191	83.116593	54.958541	3.06	4
141373143609961	82.857143	54.976228	3.06	3
70030076280129058	83.012314	55.065597	3.06	3
